A
Active-matrix | 主动矩阵
Adapter cards | 适配卡
Advanced application | 高级应用
Analytical graph | 分析图表
Analyze ['ænə,laɪz] | 分析
Animations | 动画
Application software | 应用软件
Arithmetic operations | 算术运算
Audio-output device | 音频输出设备
Access time | 存取时间
access | 存取
accuracy | 准确性
ad network cookies | 广告网络信息记录软件
administrator | 管理员
Add-ons | 插件
Address | 地址
Agents | 代理
Analog signals | 模拟信号
Applets | 程序
Asynchronous communications port | 异步通信端口
Attachment | 附件
AGP accelerated graphics port | 加速图形接口
ALU arithmetic-logic unit | 算术逻辑单元
B
Bar code | 条形码
Bar code reader | 条形码读卡器
Basic application | 基础程序
Binary coding schemes | 二进制编码方案
Binary system | 二进制系统
Bit | 比特
Browser | 浏览器
Bus line | 总线
Backup tape cartridge units | 备份磁带盒单元
Bandwidth | 带宽
Bluetooth | 蓝牙
Broadband | 宽带
Business-to-business | 企业对企业电子商务
Business-to-consumer | 企业对消费者
Bus总线
C
Cables | 连线
Cell | 单元箱
Chain printer | 链式打印机
Character and recognition device | 字符标识识别设备
Chart | 图表
Chassis | 支架
Chip | 芯片
Clarity | 清晰度
Closed architecture | 封闭式体系结构
Column | 列
Combination key | 结合键
computer competency | 计算机能力
connectivity | 连接，结点
Continuous-speech recognition system | 连续语言识别系统
Control unit | 操纵单元
Cordless or wireless mouse | 无线鼠标
Cable modems | 有线调制解调器
CD-ROM | 只读光盘
CD-RW | 可重写光盘
CD-R | 可记录压缩光盘
Channel | 信道
Chat group | 谈话群组
chlorofluorocarbons(CFCs) | 氯氟甲烷
Client | 客户端
Coaxial cable | 同轴电缆
cold site | 冷网站
Commerce servers | 商业服务器
Communication channel | 信道
Communication systems | 信息系统
CD（Compact disc） | 光盘
computer crime | 计算机犯罪
computer ethics | 计算机道德
Computer network | 计算机网络
computer support specialist | 计算机支持专家
computer technician | 计算机技术人员
computer trainer | 计算机教师
Connection device | 连接设备
Connectivity | 连接
Consumer-to-consumer | 个人对个人
cookies-cutter programs | 信息记录截取程序
cookies | 信息记录程序
cracker | 解密高手
Cyber cash | 电子货币
Cyberspace | 计算机空间
cynic | 愤世嫉俗者
chart | 图表
closed architecture  | 封闭式体系结构
CPU central processing  | unit中央处理器
CMOS complementary metal-oxide semiconductor | 互补金属氧化物半导体
CISC complex instruction set computer | 复杂指令集计算机
CRT cathode-ray tube | 阴极射线管
D
Database | 数据库
database files | 数据库文件
Database manager | 数据库管理
Data bus | 数据总线
Data projector | 数码放映机
Desktop system unit | 台式电脑系统单元
Destination file | 目标文件
Digital cameras | 数码照相机
Digital notebooks | 数字笔记本
Digital video camera | 数码摄影机
Discrete-speech recognition system | 不连续语言识别系统
Document | 文档
document files | 文档文件
Dot-matrix printer | 点矩阵式打印机
Dual-scan monitor | 双向扫描显示器
Dumb terminal | 非智能终端
data security | 数据安全
Data transmission specifications | 数据传输说明
database administrator | 数据库管理员
Data play | 数字播放器
Demodulation | 解调
denial of service attack | 拒绝服务攻击
Dial-up service | 拨号服务
Digital cash | 数字现金
Digital signals | 数字信号
Digital subscriber line | 数字用户线路
Digital versatile disc | 数字化通用磁盘
Digital video disc | 数字化视频光盘
Direct access | 直接存取
Directory search | 目录搜索
disaster recovery plan | 灾难恢复计划
Disk caching | 磁盘驱动器高速缓存
Diskette | 磁盘
Disk | 磁碟
Distributed data processing system | 分部数据处理系统
Distributed processing | 分布处理
Domain code | 域代码
Downloading | 下载
DVD（Digital Versatile Disc） | 数字多功能光盘
DVD-R  | 可写DVD
DVD-RAMDVD | 随机存取器
DVD-ROM | 只读DVD
DBMS （database management system） | 数据库管理系统
Domain name system（DNS） | 域名服务器
E
e-book | 电子阅读器
Expansion cards | 扩展卡
end user | 终端用户
e-cash | 电子现金
e-commerce | 电子商务
electronic cash | 电子现金
electronic commerce | 电子商务
encrypting | 加密术
energy star | 能源之星
Enterprise computing | 企业计算化
environment | 环境
Erasable optical disks | 可擦除式光盘
ergonomics | 人类工程学
ethics | 道德规范
External modem | 外置调制解调器
extranet | 企业外部网
F
Fax machine | 传真机
Field | 域
Find | 搜索
FireWire port | 火线端口
Firmware | 固件
Flash RAM | 闪存
Flatbed scanner | 台式扫描器
Flat-panel monitor | 纯平显示器
floppy disk | 软盘
Formatting toolbar | 格式化工具条
Formula | 公式
Function | 函数
Fiber-optic cable | 光纤电缆
File compression | 文件压缩
File decompression | 文件解压缩
filter | 过滤
firewall | 防火墙
firewall | 防火墙
Fixed disk | 固定硬盘
Flash memory | 闪存
Flexible disk | 可折叠磁盘
Floppies | 磁盘
Floppy-disk cartridge | 磁盘盒
Formatting | 格式化
frequency | 频率
frustrated | 受挫折
Full-duplex communication | 全双通通信
File transfer protocol(FTP) | 文件传送协议
G
General-purpose application | 通用运用程序
Gigahertz | 千兆赫
Graphic tablet | 绘图板
green pc | 绿色个人计算机
Group by  | 排序
H
handheld computer | 手提电脑
Hard copy | 硬拷贝
hard disk | 硬盘
hardware | 硬件
Help | 帮助
Host computer | 主机
Home page | 主页
Hyperlink | 超链接
hacker | 黑客
Half-duplex communication | 半双通通信
Hard-disk cartridge | 硬盘盒
Hard-disk pack | 硬盘组
Head crash | 磁头碰撞
header | 标题
help desk specialist | 帮助办公专家
helper applications | 帮助软件
Hierarchical network | 层次型网络
history file | 历史文件
hits | 匹配记录
horizontal portal | 横向用户
hot site | 热网站
Hybrid network | 混合网络
HTML（Hypertext Markup Language） | 超文本标示语言
HPSB high performance serial bus | 高性能串行总线
HDTV high-definition television | 高清晰度电视
I
Image capturing device | 图像获取设备
IT（information technology） | 信息技术
Ink-jet printer | 墨水喷射印刷机
Integrated package | 综合性组件
Intelligent terminal | 智能终端设备
Intergrated circuit | 集成电路
implements  | 实现接口
Interface cards | 接口卡
Internal modem | 内部调制解调器
internet telephony | 网络电话
internet terminal | 互联网终端
Identification识别
i-drive网络硬盘驱动器
illusion of anonymity | 匿名幻想
index search | 索引搜索
information pushers | 信息推送器
initializing  | 初始化
instant messaging | 计时信息
internal hard disk | 内置硬盘
Internet hard drive  | 网络硬盘驱动器
intranet | 企业内部网
ISA industry standard architecture | 工业标准结构体系
internet relay chat(IRC) | 互联网多线交谈
J
joystick | 操纵杆
K
keyword search | 关键字搜索
L
laser printer | 激光打印机
Layout files | 版式文件
Light pen | 光笔
Locate | 定位
Logical operations | 逻辑运算
Lands | 凸面
Line of sight communication | 视影通信
Low bandwidth | 低带宽
lurking | 潜伏
LCD liquid crystal display monitor | 液晶显示器
Local area network（LAN） | 局域网
M
Main board | 主板
Mark sensing | 标志检测
Mechanical mouse | 机械鼠标
Memory | 内存
Menu | 菜单
Menu bar | 菜单条
Microprocessor | 微处理器
Microseconds | 微秒
Modem card | 调制解调器
Monitor | 显示器
Motherboard | 主板
Mouse | 鼠标
Multifunctional device | 多功能设备
Magnetic tape reels | 磁带卷
Magnetic tape streamers | 磁带条
mailing list | 邮件列表
Medium band | 媒质带宽
metasearch engine | 整合搜索引擎
Microwave | 微波
Modem | 解调器
Modulation | 解调
Metropolitan area network(MAN) | 城域网
MICRmagnetic-ink character recognition | 磁墨水字符识别器
N
Net PC | 网络计算机
Network adapter card | 网卡
Network personal computer | 网络个人电脑
Network terminal | 网络终端
Notebook computer | 笔记本电脑
Notebook system unit | 笔记本系统单元
Numeric entry | 数字输入
national information infrastructure protection act of1996 | 国际信息保护法案
national service provider | 全国性服务供应商
Network architecture | 网络体系结构
Network bridge | 网桥
Network gateway | 网关
network manager | 网络管理员
newsgroup | 新闻组
no electronic theft act of1997 | 无电子盗窃法
Node | 节点
Nonvolatile storage | 非易失性存储
Network operation system(NOS) | 网络操作系统
O
Object embedding | 对象嵌入
Object linking | 目标链接
Open architecture | 开放式体系结构
Operation System | 操作系统
Optical disk | 光盘
